Product_name,Type,Product_url,Product_reviews,Product_ratings,Product_price
H9 Flow Dual-Chamber ATX Mid-Tower PC Gaming Case – High-Airflow Perforated Top Panel – Tempered Glass Front & Side Panels – 360mm Radiator Support – Cable Management – White,pc+case,https://www.amazon.com/NZXT-Flow-Dual-Chamber-Mid-Tower-Gaming/dp/B0BG1GQKKY/ref=sr_1_18?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-18&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,714,4.8 out of 5 stars,$154.99
"PC CASE ATX 6 PWM ARGB Fans Pre-Installed, Type-C Mid Tower Computer Case with Full View Dual Tempered Glass, Gaming PC Case,Black(K2)",pc+case,https://www.amazon.com/MUSETEX-Pre-Installed-Type-C-Computer-Tempered/dp/B0C9H87GPK/ref=sr_1_19?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-19&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,335,4.6 out of 5 stars,$109.99
"ATX PC Case, 6 PWM ARGB Fans Pre-Installed, Computer Case with Double Tempered Glass, Mid Tower Gaming PC Case, USB 3.0 x 2, Black, G07",pc+case,https://www.amazon.com/MUSETEX-Pre-Installed-Computer-Tempered-G07/dp/B0C9TH74LF/ref=sr_1_20?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-20&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,3392,4.5 out of 5 stars,$74.99
"Sky Two, Dual Tempered Glass, 4X PWM ARGB Fans Pre-Installed, ATX Gaming Mid Tower Computer Case, Type C, High Airflow Performance- Black",pc+case,https://www.amazon.com/Montech-Tempered-Pre-Installed-Computer-Performance/dp/B0BNT962NF/ref=sr_1_21?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-21&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,114,4.7 out of 5 stars,$87.99
"Aurora R15 Gaming Desktop - AMD Ryzen 9 7900X, 32GB DDR5 RAM, 1TB SSD + 2TB HDD, NVIDIA GeForce RTX 4080 16GB GDDR6X, Dell Service Included, Windows 11 Home - Black",pc+case,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RLwd7JfD3ErPRgbUc3BO_EkAAAGNYh57AAEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAumL5-/https://www.amazon.com/Alienware-Aurora-R15-Gaming-Desktop/dp/B0C2VX6HN8/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.e3e25c3f-be9c-4043-8c05-6ebb65e75e4b%3Aamzn1.sym.e3e25c3f-be9c-4043-8c05-6ebb65e75e4b&crid=3TXP1EHXO96V1&cv_ct_cx=pc+case&keywords=pc+case&pd_rd_i=B0C2VX6HN8&pd_rd_r=cafdfcd6-ae04-4910-a634-7e2bddca13c4&pd_rd_w=1KZ9g&pd_rd_wg=UzeHz&pf_rd_p=e3e25c3f-be9c-4043-8c05-6ebb65e75e4b&pf_rd_r=3H1P9PPS5RN5B6472JFY&qid=1706748181&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=graphics+car%2Caps%2C288&sr=1-1-a61ee601-6e56-4862-a8a2-1d3da5a5406f&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,692,4.2 out of 5 stars,"$2,599.97"
"Aurora R15 Gaming Desktop - AMD Ryzen 9 7900X, 32GB DDR5 RAM, 1TB SSD + 2TB HDD, NVIDIA GeForce RTX 4080 16GB GDDR6X, Dell Service Included, Windows 11 Home - Black",pc+case,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RLwd7JfD3ErPRgbUc3BO_EkAAAGNYh57AAEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAumL5-/https://www.amazon.com/Alienware-Aurora-R15-Gaming-Desktop/dp/B0C2VX6HN8/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.e3e25c3f-be9c-4043-8c05-6ebb65e75e4b%3Aamzn1.sym.e3e25c3f-be9c-4043-8c05-6ebb65e75e4b&crid=3TXP1EHXO96V1&cv_ct_cx=pc+case&keywords=pc+case&pd_rd_i=B0C2VX6HN8&pd_rd_r=cafdfcd6-ae04-4910-a634-7e2bddca13c4&pd_rd_w=1KZ9g&pd_rd_wg=UzeHz&pf_rd_p=e3e25c3f-be9c-4043-8c05-6ebb65e75e4b&pf_rd_r=3H1P9PPS5RN5B6472JFY&qid=1706748181&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=graphics+car%2Caps%2C288&sr=1-1-a61ee601-6e56-4862-a8a2-1d3da5a5406f&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,692,4.2 out of 5 stars,"$2,599.97"
"ROG Strix B550-F Gaming WiFi II AMD AM4 (3rd Gen Ryzen) ATX Motherboard (PCIe 4.0,WiFi 6E, 2.5Gb LAN, BIOS Flashback, HDMI 2.1, Addressable Gen 2 RGB Header and Aura Sync)",motherboard,https://www.amazon.com/ROG-B550-F-II-Motherboard-Addressable/dp/B09GP7P1XS/ref=sr_1_1?crid=3TXP1EHXO96V1&keywords=motherboard&qid=1706748234&sprefix=graphics+car%2Caps%2C288&sr=8-1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,8597,4.6 out of 5 stars,$169.99
"ROG Strix B550-F Gaming WiFi II AMD AM4 (3rd Gen Ryzen) ATX Motherboard (PCIe 4.0,WiFi 6E, 2.5Gb LAN, BIOS Flashback, HDMI 2.1, Addressable Gen 2 RGB Header and Aura Sync)",motherboard,https://www.amazon.com/ROG-B550-F-II-Motherboard-Addressable/dp/B09GP7P1XS/ref=sr_1_1?crid=3TXP1EHXO96V1&keywords=motherboard&qid=1706748234&sprefix=graphics+car%2Caps%2C288&sr=8-1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,8597,4.6 out of 5 stars,$169.99
"Prime B450M-A II AMD AM4 (Ryzen 5000, 3rd/2nd/1st Gen Ryzen Micro ATX Motherboard (128GB DDR4, 4400 O.C.), NVMe, HDMI 2.0b/DVI/D-Sub, USB 3.2 2, BIOS Flashback, and Aura Sync)",motherboard,https://www.amazon.com/ASUS-Prime-II-Motherboard-Flashback/dp/B08KH12V25/ref=sr_1_2?crid=3TXP1EHXO96V1&keywords=motherboard&qid=1706748234&sprefix=graphics+car%2Caps%2C288&sr=8-2&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,5569,4.6 out of 5 stars,$79.99
"TUF Gaming Z790-Plus WiFi LGA 1700(Intel 14th,12th &13th Gen) ATX Gaming Motherboard(PCIe 5.0,DDR5,4xM.2 Slots,16+1 DrMOS,WiFi 6,2.5Gb LAN,Front USB 3.2 Gen 2 Type-C,Thunderbolt 4(USB4),Aura RGB)",motherboard,https://www.amazon.com/ASUS-TUF-Intel%C2%AE12th-Motherboard-Thunderbolt/dp/B0BQD58D96/ref=sr_1_3?crid=3TXP1EHXO96V1&keywords=motherboard&qid=1706748234&sprefix=graphics+car%2Caps%2C288&sr=8-3&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,1218,4.4 out of 5 stars,$229.99
